"","StudentId","Date","TipoBach","GradeBach","GradeAccess","GradeSocMath","GradeMath"
"1",1,1009,"GRHC",6.29,5.549,4.5,NA
"2",1,1006,"GRHC",6.29,NA,1.75,NA
"3",2,1009,"GRHC",6.06,NA,NA,NA
"4",2,1006,"GRHC",6.06,5.311,NA,NA
"5",3,1009,"GRCT",5.63,NA,NA,2.75
"6",3,1006,"GRCT",5.63,NA,NA,6
"7",4,1009,"GRHC",5.53,NA,NA,NA
"8",4,1006,"GRHC",5.53,NA,NA,NA
"9",5,1206,"GRCT",6.06,NA,NA,2.25
"10",5,1109,"GRCT",6.06,NA,NA,NA
"11",5,1106,"GRCT",6.06,NA,NA,3.5
"12",5,1006,"GRCT",6.06,5.561,NA,1
"13",6,1106,"GRHC",6.35,NA,NA,NA
"14",6,1006,"GRHC",6.35,6.485,NA,NA
"15",7,1206,"A01",NA,NA,NA,NA
"16",7,1006,"GRHC",6.65,6.015,2.5,NA
"17",8,1006,"GRHC",6.12,5.922,3.75,NA
"18",9,1006,"GRHC",7.2,NA,NA,NA
"19",10,1006,"GRHC",6.12,5.422,NA,NA
"20",11,1006,"GRCT",6.24,5.994,NA,NA
"21",12,1006,"GRHC",6.12,5.947,NA,NA
"22",13,1006,"GRHC",7.2,6.695,4.5,NA
"23",14,1006,"GRCT",6.88,6.428,NA,NA
"24",15,1006,"GRHC",6,5.85,1.5,NA
"25",16,1006,"GRHC",6.06,5.486,4,NA
"26",17,1006,"GRHC",7.71,7.176,4.25,NA
"27",18,1006,"GRCT",6.31,NA,NA,NA
"28",19,1006,"GRHC",6.41,5.796,6.5,NA
"29",20,1006,"GRHC",6.06,6.561,3,NA
"30",21,1006,"GRHC",7.47,7.032,NA,NA
"31",22,1006,"GRCT",6.88,6.128,NA,5.25
"32",23,1006,"GRHC",5.82,5.467,NA,NA
"33",24,1006,"GRHC",6,5.725,3.5,NA
"34",25,1006,"GRCT",5.7,NA,NA,NA
"35",26,1006,"GRCT",7.88,7.503,NA,2.25
"36",27,1006,"GRHC",6.65,5.965,1.5,NA
"37",28,1006,"GRHC",7.88,7.278,NA,NA
"38",29,1006,"GRCT",6.71,6.651,NA,NA
"39",30,1006,"GRCT",7.59,7.229,6,8.25
"40",31,1006,"GRHC",6.82,6.467,4,NA
"41",32,1006,"GRCT",7.88,7.153,NA,NA
"42",33,1006,"GRCT",5.56,5.561,NA,7.75
"43",34,1006,"GRHC",7.53,6.693,3.25,NA
"44",35,1006,"GRHC",5.81,5.361,5,NA
