ALUMNO;cali;anyo;conv
1;4;2012-13;ENE
1;5;2012-13;JUN
2;3,3;2011-12;JUN
2;3,2;2013-14;ENE
2;5;2013-14;JUN
2;3,8;2012-13;ENE
2;2,9;2011-12;ENE
2;4;2012-13;JUN
3;3,2;2014-15;ENE
3;0;2013-14;ENE
3;3,4;2013-14;JUN
4;4,2;2013-14;ENE
4;1;2013-14;JUN
5;5,4;2013-14;ENE
6;0;2012-13;ENE
7;5,9;2013-14;ENE
8;5;2011-12;ENE
9;7;2011-12;ENE
10;2,6;2011-12;ENE
10;3;2011-12;JUN
10;0;2012-13;ENE
10;3,1;2012-13;JUN
10;5,1;2013-14;ENE
11;3,9;2011-12;ENE
11;5;2011-12;JUN
12;2,7;2011-12;ENE
12;3,2;2011-12;JUN
12;1,2;2012-13;ENE
12;2,6;2012-13;JUN
12;5,2;2013-14;ENE
13;5,5;2011-12;ENE
14;5;2011-12;JUN
14;4,1;2011-12;ENE
15;5;2011-12;ENE
16;5,5;2011-12;ENE
17;4,2;2011-12;ENE
17;6,5;2011-12;JUN
18;5,3;2011-12;ENE
19;5;2011-12;ENE
20;5;2011-12;ENE
21;5,3;2014-15;ENE
21;3;2013-14;JUN
21;3,9;2013-14;ENE
21;2,5;2012-13;ENE
21;3,7;2012-13;JUN
22;7,5;2013-14;ENE
23;5,2;2011-12;ENE
24;4,1;2011-12;ENE
24;5;2011-12;JUN
25;7;2011-12;ENE
26;6,5;2011-12;ENE
27;3,8;2011-12;ENE
27;4,5;2011-12;JUN
27;5;2012-13;ENE
28;5,8;2011-12;JUN
28;4,3;2011-12;ENE
29;5;2011-12;ENE
30;6,3;2011-12;ENE
31;5,3;2011-12;ENE
32;7;2011-12;ENE
33;6;2013-14;ENE
34;3,4;2013-14;ENE
34;5;2013-14;JUN
35;6,6;2014-15;ENE
36;6,4;2012-13;ENE
36;4,5;2011-12;ENE
36;4,5;2011-12;JUN
37;4;2011-12;ENE
37;5,3;2011-12;JUN
38;5,4;2011-12;ENE
39;7;2011-12;ENE
40;4,3;2011-12;ENE
40;5,7;2011-12;JUN
41;4;2011-12;ENE
41;0;2011-12;JUN
41;0;2012-13;ENE
41;0;2012-13;JUN
41;5;2013-14;ENE
42;5,1;2011-12;ENE
43;3;2014-15;ENE
43;1,8;2013-14;JUN
43;3,1;2013-14;ENE
43;0;2012-13;ENE
43;2,5;2012-13;JUN
44;3,7;2012-13;JUN
44;5;2013-14;ENE
44;4,2;2012-13;ENE
45;4,5;2011-12;ENE
45;5;2011-12;JUN
46;3,9;2011-12;ENE
46;0;2011-12;JUN
46;4,4;2012-13;ENE
46;6,5;2012-13;JUN
47;5,2;2011-12;ENE
48;5;2011-12;ENE
49;5;2011-12;ENE
50;3,6;2011-12;ENE
50;4,1;2011-12;JUN
50;3,9;2012-13;ENE
50;5,9;2012-13;JUN
51;6,3;2011-12;ENE
52;5,1;2011-12;ENE
53;6;2011-12;ENE
54;4,3;2011-12;ENE
54;4;2011-12;JUN
54;5;2012-13;ENE
55;6,4;2013-14;ENE
56;4,3;2011-12;ENE
56;5;2011-12;JUN
57;3,5;2011-12;ENE
57;5;2011-12;JUN
58;7;2011-12;ENE
59;5,6;2011-12;ENE
60;5,5;2011-12;ENE
61;5,3;2011-12;ENE
62;6,1;2011-12;ENE
63;5,5;2011-12;JUN
63;4,5;2011-12;ENE
64;5;2011-12;ENE
65;3,3;2011-12;ENE
65;4,2;2011-12;JUN
65;5,7;2012-13;ENE
66;3,1;2011-12;ENE
66;3,4;2011-12;JUN
66;0;2012-13;ENE
66;3,5;2012-13;JUN
66;5,5;2013-14;ENE
67;5,5;2011-12;ENE
68;3,7;2011-12;ENE
68;5;2011-12;JUN
69;4,5;2012-13;ENE
69;6,5;2012-13;JUN
70;0;2012-13;JUN
70;0;2013-14;ENE
70;0;2013-14;JUN
70;0;2014-15;ENE
70;3,8;2011-12;JUN
70;3,5;2011-12;ENE
70;0,8;2012-13;ENE
71;5;2011-12;ENE
72;3,9;2012-13;ENE
72;5;2012-13;JUN
72;0;2011-12;JUN
72;0;2011-12;ENE
73;10;2011-12;ENE
74;8,1;2011-12;ENE
75;3,2;2011-12;ENE
75;4;2011-12;JUN
75;1,1;2012-13;ENE
75;5;2012-13;JUN
76;7;2012-13;ENE
77;4,3;2014-15;ENE
78;7,1;2011-12;ENE
79;6;2011-12;ENE
80;2,9;2011-12;ENE
80;5;2011-12;JUN
81;5;2011-12;ENE
82;3,8;2011-12;JUN
82;2,7;2011-12;ENE
83;3,8;2013-14;ENE
83;0;2013-14;JUN
84;0;2012-13;ENE
84;6;2013-14;JUN
84;3,1;2012-13;JUN
84;3,2;2011-12;JUN
84;3,7;2011-12;ENE
84;4;2013-14;ENE
85;8;2011-12;ENE
86;5,2;2011-12;ENE
87;5,1;2011-12;ENE
88;5,1;2011-12;ENE
89;5;2013-14;ENE
90;5,5;2013-14;ENE
91;1,3;2014-15;ENE
92;3,5;2012-13;ENE
92;0;2012-13;JUN
92;5;2013-14;ENE
93;2,2;2012-13;ENE
93;5;2012-13;JUN
94;0,2;2013-14;ENE
94;0;2013-14;JUN
94;2,3;2014-15;ENE
95;6;2012-13;ENE
96;2,5;2014-15;ENE
97;5;2012-13;ENE
98;5;2011-12;ENE
99;5;2012-13;JUN
99;3,8;2012-13;ENE
100;4,5;2012-13;ENE
100;4,2;2012-13;JUN
100;3,9;2013-14;ENE
100;5;2013-14;JUN
101;5,3;2012-13;ENE
102;3,4;2012-13;ENE
102;3,3;2012-13;JUN
102;5;2013-14;ENE
103;6,5;2014-15;ENE
104;0;2014-15;ENE
105;4;2013-14;JUN
105;0;2014-15;ENE
105;4,2;2013-14;ENE
106;1,5;2013-14;JUN
106;2,9;2013-14;ENE
107;6;2012-13;ENE
108;5;2014-15;ENE
108;2,6;2012-13;ENE
108;3;2012-13;JUN
108;3,9;2013-14;ENE
108;3,8;2013-14;JUN
109;5,2;2013-14;ENE
110;6;2014-15;ENE
111;8;2013-14;ENE
112;7,3;2014-15;ENE
113;5,2;2013-14;ENE
114;3,9;2013-14;ENE
114;5,9;2013-14;JUN
115;5,7;2013-14;ENE
116;8;2013-14;ENE
117;7,5;2013-14;ENE
118;7;2014-15;ENE
119;4,7;2012-13;ENE
119;5;2012-13;JUN
120;3;2012-13;ENE
120;5;2012-13;JUN
121;4,4;2012-13;ENE
121;5;2012-13;JUN
122;5;2012-13;ENE
123;7;2012-13;ENE
124;5,3;2012-13;ENE
125;6;2012-13;ENE
126;5;2012-13;JUN
126;3,8;2012-13;ENE
127;5;2012-13;JUN
127;2,9;2012-13;ENE
128;6,5;2012-13;ENE
129;6,5;2012-13;ENE
130;7;2012-13;ENE
131;4,5;2012-13;ENE
131;0;2012-13;JUN
131;6,9;2013-14;ENE
132;7,5;2012-13;ENE
133;4,1;2012-13;ENE
133;0;2014-15;ENE
133;4,2;2013-14;JUN
133;3,7;2012-13;JUN
133;3,6;2013-14;ENE
134;4;2012-13;ENE
134;5;2012-13;JUN
135;7;2012-13;ENE
136;4,3;2012-13;ENE
136;5;2012-13;JUN
137;3,8;2012-13;ENE
137;3,8;2012-13;JUN
137;5;2013-14;ENE
138;4;2012-13;ENE
138;5,5;2012-13;JUN
139;5,3;2012-13;ENE
140;3,8;2012-13;ENE
140;3,7;2012-13;JUN
140;4,3;2013-14;ENE
140;5,2;2013-14;JUN
141;5,4;2012-13;ENE
142;0;2014-15;ENE
142;2,7;2013-14;JUN
142;0;2013-14;ENE
142;3,1;2012-13;ENE
142;0;2012-13;JUN
143;5,9;2012-13;ENE
144;6,5;2012-13;ENE
145;8;2013-14;ENE
146;6,7;2012-13;ENE
147;7,7;2012-13;ENE
148;7;2012-13;ENE
149;5;2012-13;ENE
150;5,3;2012-13;ENE
151;3,1;2012-13;ENE
151;0;2012-13;JUN
151;3,4;2013-14;ENE
151;3,8;2013-14;JUN
151;5;2014-15;ENE
152;5,5;2012-13;ENE
153;7;2012-13;ENE
154;3,9;2012-13;ENE
154;5;2012-13;JUN
155;5,4;2012-13;ENE
156;6;2012-13;ENE
157;5;2012-13;ENE
158;5,6;2012-13;ENE
159;5,9;2012-13;ENE
160;5,6;2012-13;ENE
161;7;2012-13;ENE
162;3,3;2013-14;ENE
162;5,8;2013-14;JUN
162;3,6;2012-13;JUN
162;2,7;2012-13;ENE
163;5;2012-13;ENE
164;5,7;2012-13;ENE
165;3,6;2012-13;ENE
165;5;2012-13;JUN
166;5;2012-13;ENE
167;9;2014-15;ENE
168;5,3;2012-13;ENE
169;6,4;2012-13;ENE
170;5,5;2012-13;ENE
171;6;2012-13;ENE
172;4,4;2012-13;ENE
172;5;2012-13;JUN
173;5,1;2012-13;ENE
174;5;2012-13;ENE
175;4;2012-13;ENE
175;5;2012-13;JUN
176;0;2012-13;ENE
176;5;2012-13;JUN
177;7,2;2013-14;ENE
178;5,1;2013-14;ENE
179;7;2012-13;ENE
180;7;2012-13;ENE
181;7,7;2012-13;ENE
182;2,6;2013-14;JUN
182;5,7;2014-15;ENE
182;3,1;2012-13;JUN
182;3,4;2012-13;ENE
182;2,1;2013-14;ENE
183;7,9;2012-13;ENE
184;3,3;2012-13;ENE
184;5;2012-13;JUN
185;7;2012-13;ENE
186;2,5;2012-13;ENE
186;3,2;2012-13;JUN
186;1,9;2013-14;ENE
186;7;2013-14;JUN
187;5;2013-14;ENE
188;3,8;2014-15;ENE
189;5,5;2014-15;ENE
190;5;2013-14;ENE
191;3,5;2013-14;JUN
191;5;2014-15;ENE
191;3,1;2013-14;ENE
192;5,1;2013-14;ENE
193;3,5;2013-14;JUN
193;0;2014-15;ENE
193;3,6;2013-14;ENE
194;8,2;2012-13;ENE
195;5,1;2014-15;ENE
196;5;2012-13;JUN
196;3,8;2012-13;ENE
197;7,5;2012-13;ENE
198;3,4;2012-13;ENE
198;6;2012-13;JUN
199;3,1;2014-15;ENE
199;3;2013-14;JUN
199;3,2;2013-14;ENE
199;3,3;2012-13;ENE
199;4;2012-13;JUN
200;3,2;2014-15;ENE
200;4;2013-14;ENE
200;2,8;2013-14;JUN
201;5,3;2014-15;ENE
202;5;2012-13;ENE
203;3,1;2014-15;ENE
204;3;2013-14;ENE
204;4;2013-14;JUN
204;0;2014-15;ENE
205;5;2014-15;ENE
206;0,2;2014-15;ENE
207;5,7;2013-14;ENE
208;7,2;2014-15;ENE
209;5,2;2013-14;ENE
210;5;2013-14;ENE
211;3,7;2013-14;ENE
211;2;2013-14;JUN
211;5;2014-15;ENE
212;7;2013-14;ENE
213;5,1;2013-14;ENE
214;5,6;2013-14;JUN
214;3,6;2013-14;ENE
215;10;2013-14;ENE
216;6,7;2014-15;ENE
217;5,3;2013-14;ENE
218;5,1;2013-14;ENE
219;3,7;2013-14;JUN
219;6;2014-15;ENE
219;4,2;2013-14;ENE
220;5;2013-14;ENE
221;4,4;2014-15;ENE
222;7,7;2013-14;ENE
223;5,5;2013-14;ENE
224;0;2013-14;ENE
224;1,5;2013-14;JUN
224;3,5;2014-15;ENE
225;7,8;2013-14;ENE
226;3,3;2013-14;ENE
226;3;2013-14;JUN
226;5,5;2014-15;ENE
227;5,6;2013-14;ENE
228;5,6;2013-14;ENE
229;6,1;2013-14;ENE
230;7,9;2014-15;ENE
231;9;2013-14;ENE
232;3,9;2013-14;ENE
232;2;2013-14;JUN
233;7,5;2013-14;ENE
234;3,7;2014-15;ENE
234;3;2013-14;JUN
234;3,1;2013-14;ENE
235;6,9;2013-14;ENE
236;5;2013-14;ENE
237;7,7;2013-14;ENE
238;6;2013-14;JUN
238;3,6;2013-14;ENE
239;5,2;2013-14;ENE
240;7,2;2013-14;ENE
241;5;2013-14;ENE
242;7,7;2013-14;ENE
243;3,1;2013-14;ENE
243;5,5;2013-14;JUN
244;6,8;2013-14;ENE
245;6;2013-14;JUN
245;4,2;2013-14;ENE
246;2;2013-14;JUN
246;0;2014-15;ENE
246;3,2;2013-14;ENE
247;8;2014-15;ENE
248;5,7;2013-14;ENE
249;7,1;2013-14;ENE
250;6,8;2013-14;ENE
251;8,5;2013-14;ENE
252;6,3;2013-14;ENE
253;4,2;2013-14;ENE
253;5;2013-14;JUN
254;6,1;2013-14;ENE
255;5,4;2013-14;ENE
256;4;2013-14;ENE
256;5;2013-14;JUN
257;5;2012-13;JUN
257;4,5;2012-13;ENE
258;3,7;2013-14;ENE
258;4;2013-14;JUN
258;0;2014-15;ENE
259;5,3;2013-14;ENE
260;5,1;2013-14;ENE
261;3,6;2013-14;ENE
261;6,2;2013-14;JUN
262;5;2014-15;ENE
263;5,2;2014-15;ENE
264;5;2013-14;ENE
265;5,9;2014-15;ENE
266;0;2014-15;ENE
267;8,6;2014-15;ENE
268;0;2014-15;ENE
269;0;2014-15;ENE
270;4;2014-15;ENE
271;8;2014-15;ENE
272;8,6;2014-15;ENE
273;6,5;2014-15;ENE
274;3,3;2014-15;ENE
275;6;2014-15;ENE
276;6,5;2014-15;ENE
277;8,2;2014-15;ENE
278;8;2014-15;ENE
279;2,8;2014-15;ENE
280;3,8;2014-15;ENE
281;4,6;2014-15;ENE
282;5,5;2014-15;ENE
283;5,2;2014-15;ENE
284;5;2014-15;ENE
285;6;2014-15;ENE
286;2,9;2014-15;ENE
287;4,2;2014-15;ENE
288;7,6;2014-15;ENE
289;7;2014-15;ENE
290;8,2;2014-15;ENE
291;3,4;2014-15;ENE
292;5,8;2014-15;ENE
293;5,7;2014-15;ENE
294;6,6;2014-15;ENE
295;6,3;2014-15;ENE
296;5;2014-15;ENE
297;6;2014-15;ENE
298;4;2014-15;ENE
299;6,3;2014-15;ENE
300;3,1;2014-15;ENE
301;8;2014-15;ENE
302;5,8;2014-15;ENE
303;5,4;2014-15;ENE
304;7,8;2014-15;ENE
305;0;2014-15;ENE
306;7,1;2014-15;ENE
307;3,7;2014-15;ENE
308;5;2014-15;ENE
309;2,3;2014-15;ENE
310;6,6;2014-15;ENE
311;5,6;2014-15;ENE
312;6,5;2014-15;ENE
313;6;2014-15;ENE
314;5,2;2014-15;ENE
315;6;2014-15;ENE
316;3,5;2014-15;ENE
317;3,5;2014-15;ENE
