"","StudentId","Date","Grade"
"1",1,1301,4
"2",1,1306,5
"3",2,1206,3.3
"4",2,1401,3.2
"5",2,1406,5
"6",2,1301,3.8
"7",2,1201,2.9
"8",2,1306,4
"9",3,1501,3.2
"10",3,1401,0
"11",3,1406,3.4
"12",4,1401,4.2
"13",4,1406,1
"14",5,1401,5.4
"15",6,1301,0
"16",7,1401,5.9
"17",8,1201,5
"18",9,1201,7
"19",10,1201,2.6
"20",10,1206,3
"21",10,1301,0
"22",10,1306,3.1
"23",10,1401,5.1
"24",11,1201,3.9
"25",11,1206,5
"26",12,1201,2.7
"27",12,1206,3.2
"28",12,1301,1.2
"29",12,1306,2.6
"30",12,1401,5.2
"31",13,1201,5.5
"32",14,1206,5
"33",14,1201,4.1
"34",15,1201,5
"35",16,1201,5.5
"36",17,1201,4.2
"37",17,1206,6.5
"38",18,1201,5.3
"39",19,1201,5
"40",20,1201,5
"41",21,1501,5.3
"42",21,1406,3
"43",21,1401,3.9
"44",21,1301,2.5
"45",21,1306,3.7
"46",22,1401,7.5
"47",23,1201,5.2
"48",24,1201,4.1
"49",24,1206,5
"50",25,1201,7
"51",26,1201,6.5
"52",27,1201,3.8
"53",27,1206,4.5
"54",27,1301,5
"55",28,1206,5.8
"56",28,1201,4.3
"57",29,1201,5
"58",30,1201,6.3
"59",31,1201,5.3
"60",32,1201,7
"61",33,1401,6
"62",34,1401,3.4
"63",34,1406,5
"64",35,1501,6.6
"65",36,1301,6.4
"66",36,1201,4.5
"67",36,1206,4.5
"68",37,1201,4
"69",37,1206,5.3
"70",38,1201,5.4
"71",39,1201,7
"72",40,1201,4.3
"73",40,1206,5.7
"74",41,1201,4
"75",41,1206,0
"76",41,1301,0
"77",41,1306,0
"78",41,1401,5
"79",42,1201,5.1
"80",43,1501,3
"81",43,1406,1.8
"82",43,1401,3.1
"83",43,1301,0
"84",43,1306,2.5
"85",44,1306,3.7
"86",44,1401,5
"87",44,1301,4.2
"88",45,1201,4.5
"89",45,1206,5
"90",46,1201,3.9
"91",46,1206,0
"92",46,1301,4.4
"93",46,1306,6.5
"94",47,1201,5.2
"95",48,1201,5
"96",49,1201,5
"97",50,1201,3.6
"98",50,1206,4.1
"99",50,1301,3.9
"100",50,1306,5.9
"101",51,1201,6.3
"102",52,1201,5.1
"103",53,1201,6
"104",54,1201,4.3
"105",54,1206,4
"106",54,1301,5
"107",55,1401,6.4
"108",56,1201,4.3
"109",56,1206,5
"110",57,1201,3.5
"111",57,1206,5
"112",58,1201,7
"113",59,1201,5.6
"114",60,1201,5.5
"115",61,1201,5.3
"116",62,1201,6.1
"117",63,1206,5.5
"118",63,1201,4.5
"119",64,1201,5
"120",65,1201,3.3
"121",65,1206,4.2
"122",65,1301,5.7
"123",66,1201,3.1
"124",66,1206,3.4
"125",66,1301,0
"126",66,1306,3.5
"127",66,1401,5.5
"128",67,1201,5.5
"129",68,1201,3.7
"130",68,1206,5
"131",69,1301,4.5
"132",69,1306,6.5
"133",70,1306,0
"134",70,1401,0
"135",70,1406,0
"136",70,1501,0
"137",70,1206,3.8
"138",70,1201,3.5
"139",70,1301,0.8
"140",71,1201,5
"141",72,1301,3.9
"142",72,1306,5
"143",72,1206,0
"144",72,1201,0
"145",73,1201,10
"146",74,1201,8.1
"147",75,1201,3.2
"148",75,1206,4
"149",75,1301,1.1
"150",75,1306,5
"151",76,1301,7
"152",77,1501,4.3
"153",78,1201,7.1
"154",79,1201,6
"155",80,1201,2.9
"156",80,1206,5
"157",81,1201,5
"158",82,1206,3.8
"159",82,1201,2.7
"160",83,1401,3.8
"161",83,1406,0
"162",84,1301,0
"163",84,1406,6
"164",84,1306,3.1
"165",84,1206,3.2
"166",84,1201,3.7
"167",84,1401,4
"168",85,1201,8
